action,search_n_nodes,search_depth,n_calls,n_call_dict,n_sol,env_name,seed
2,18918,3,19337.0,"{0: 0, 1: 306, 2: 16790, 3: 2241}",1,Env3D1,0
2,18918,3,19337.0,"{0: 0, 1: 306, 2: 16790, 3: 2241}",1,Env3D1,0
3,18918,3,19337.0,"{0: 0, 1: 306, 2: 16790, 3: 2241}",1,Env3D1,0
3,18918,3,19337.0,"{0: 0, 1: 306, 2: 16790, 3: 2241}",1,Env3D1,0
3,18918,3,19337.0,"{0: 0, 1: 306, 2: 16790, 3: 2241}",1,Env3D1,0
2,18918,3,19337.0,"{0: 0, 1: 306, 2: 16790, 3: 2241}",1,Env3D1,0
3,18918,3,19337.0,"{0: 0, 1: 306, 2: 16790, 3: 2241}",1,Env3D1,0
1,18918,3,19337.0,"{0: 0, 1: 306, 2: 16790, 3: 2241}",1,Env3D1,0
1,18918,3,19337.0,"{0: 0, 1: 306, 2: 16790, 3: 2241}",1,Env3D1,0
1,18918,3,19337.0,"{0: 0, 1: 306, 2: 16790, 3: 2241}",1,Env3D1,0
2,18918,3,19337.0,"{0: 0, 1: 306, 2: 16790, 3: 2241}",1,Env3D1,0
2,18918,3,19337.0,"{0: 0, 1: 306, 2: 16790, 3: 2241}",1,Env3D1,0
2,18918,3,19337.0,"{0: 0, 1: 306, 2: 16790, 3: 2241}",1,Env3D1,0
3,18918,3,19337.0,"{0: 0, 1: 306, 2: 16790, 3: 2241}",1,Env3D1,0
3,18918,3,19337.0,"{0: 0, 1: 306, 2: 16790, 3: 2241}",1,Env3D1,0
2,18918,3,19337.0,"{0: 0, 1: 306, 2: 16790, 3: 2241}",1,Env3D1,0
2,18918,3,19337.0,"{0: 0, 1: 306, 2: 16790, 3: 2241}",1,Env3D1,0
2,18918,3,19337.0,"{0: 0, 1: 306, 2: 16790, 3: 2241}",1,Env3D1,0
2,18918,3,19337.0,"{0: 0, 1: 306, 2: 16790, 3: 2241}",1,Env3D1,0
3,2286,3,2532.0,"{0: 0, 1: 90, 2: 2441, 3: 1}",1,Env4D0,0
3,2286,3,2532.0,"{0: 0, 1: 90, 2: 2441, 3: 1}",1,Env4D0,0
3,2286,3,2532.0,"{0: 0, 1: 90, 2: 2441, 3: 1}",1,Env4D0,0
3,2286,3,2532.0,"{0: 0, 1: 90, 2: 2441, 3: 1}",1,Env4D0,0
1,2286,3,2532.0,"{0: 0, 1: 90, 2: 2441, 3: 1}",1,Env4D0,0
1,2286,3,2532.0,"{0: 0, 1: 90, 2: 2441, 3: 1}",1,Env4D0,0
3,2286,3,2532.0,"{0: 0, 1: 90, 2: 2441, 3: 1}",1,Env4D0,0
1,2286,3,2532.0,"{0: 0, 1: 90, 2: 2441, 3: 1}",1,Env4D0,0
4,2286,3,2532.0,"{0: 0, 1: 90, 2: 2441, 3: 1}",1,Env4D0,0
4,2286,3,2532.0,"{0: 0, 1: 90, 2: 2441, 3: 1}",1,Env4D0,0
4,2286,3,2532.0,"{0: 0, 1: 90, 2: 2441, 3: 1}",1,Env4D0,0
4,2286,3,2532.0,"{0: 0, 1: 90, 2: 2441, 3: 1}",1,Env4D0,0
4,2286,3,2532.0,"{0: 0, 1: 90, 2: 2441, 3: 1}",1,Env4D0,0
2,2286,3,2532.0,"{0: 0, 1: 90, 2: 2441, 3: 1}",1,Env4D0,0
2,2286,3,2532.0,"{0: 0, 1: 90, 2: 2441, 3: 1}",1,Env4D0,0
2,2286,3,2532.0,"{0: 0, 1: 90, 2: 2441, 3: 1}",1,Env4D0,0
2,2286,3,2532.0,"{0: 0, 1: 90, 2: 2441, 3: 1}",1,Env4D0,0
2,2286,3,2532.0,"{0: 0, 1: 90, 2: 2441, 3: 1}",1,Env4D0,0
2,2286,3,2532.0,"{0: 0, 1: 90, 2: 2441, 3: 1}",1,Env4D0,0
2,2286,3,2532.0,"{0: 0, 1: 90, 2: 2441, 3: 1}",1,Env4D0,0
